"age","female","metro","member","location","pilot","ID","last","cash","sat"
41,1,1,4,1,1,10001,51,0,5
52,1,1,4,1,1,10002,40,1,3
49,1,1,1,1,1,10003,45,1,1
45,1,1,3,1,1,10005,109,0,2
44,0,1,3,1,1,10007,48,0,2
54,1,1,3,1,1,10008,52,1,2
NA,1,1,2,1,1,10015,102,0,1
44,1,1,4,1,1,10019,42,0,3
46,1,1,2,1,1,10022,51,0,1
43,0,1,3,1,1,10023,101,0,3
44,1,1,1,1,1,10024,84,0,1
46,1,1,3,1,1,10025,61,0,1
47,1,1,3,1,1,10026,42,0,3
44,1,1,3,1,1,10027,49,0,1
56,1,1,1,1,1,10028,86,0,1
39,1,1,2,1,1,10030,83,0,1
44,0,1,3,1,1,10031,207,0,1
49,1,1,1,1,1,10032,140,0,1
42,1,1,4,1,1,10033,92,0,2
38,0,1,3,1,1,10034,103,0,5
50,1,1,2,1,1,10035,51,1,1
60,1,1,2,1,1,10037,83,1,1
43,1,1,1,1,1,10039,84,0,1
44,1,1,2,1,1,10042,90,0,1
56,1,1,1,1,1,10043,NA,NA,NA
47,1,1,4,1,1,10044,61,0,2
47,0,1,1,1,1,10046,90,0,1
45,0,1,2,1,1,10047,54,0,1
40,1,1,4,1,1,10048,63,0,3
48,1,1,1,1,1,10050,34,1,1
43,0,1,1,1,1,10051,100,0,1
52,1,1,4,1,1,10052,93,0,2
32,1,1,1,1,1,10054,86,0,1
47,1,1,2,1,1,10055,49,0,1
62,1,1,4,1,1,10056,43,1,5
44,0,1,1,1,1,10058,101,0,1
53,1,1,4,1,1,10059,41,1,5
51,1,1,2,1,1,10060,80,0,1
56,1,1,1,1,1,10061,78,0,1
57,1,1,4,1,1,10063,22,1,5
53,1,1,1,1,1,10065,28,1,2
40,1,1,2,1,1,10069,156,0,2
50,1,1,3,1,1,10071,31,0,1
NA,NA,1,3,1,1,10072,105,0,3
53,1,1,3,1,1,10074,43,1,1
45,1,1,2,1,1,10075,97,0,1
51,1,1,3,1,1,10076,77,0,3
45,1,1,2,1,1,10077,63,0,3
52,1,1,2,1,1,10079,101,0,1
53,1,1,2,1,1,10080,NA,NA,NA
46,1,1,1,1,1,10081,45,0,2
48,1,1,3,1,1,10082,36,1,1
49,1,1,1,1,1,10083,52,0,1
47,1,1,4,1,1,10084,64,0,3
49,1,1,4,1,1,10086,56,0,3
49,1,1,4,1,1,10087,74,0,4
59,1,1,4,1,1,10088,40,1,4
50,1,1,1,1,1,10089,59,0,1
56,1,1,3,1,1,10090,60,1,3
52,1,1,4,1,1,10092,NA,NA,NA
NA,NA,1,3,1,1,10093,105,0,3
42,1,1,4,1,1,10096,53,0,3
54,1,1,3,1,1,10097,33,1,1
50,1,1,3,1,1,10098,48,1,1
46,1,1,2,1,1,10099,43,0,1
60,1,1,1,1,1,10103,84,0,1
NA,NA,1,3,1,1,10104,95,0,1
63,0,1,4,1,1,10106,37,1,3
57,1,1,2,1,1,10108,62,0,2
42,1,1,1,1,1,10113,134,0,1
44,1,1,2,1,1,10114,58,0,1
40,1,1,1,1,1,10119,71,0,1
46,1,1,1,1,1,10120,75,0,1
60,1,1,1,1,1,10121,87,0,1
38,0,1,4,1,1,10122,31,0,1
42,1,1,2,1,1,10124,27,0,1
57,1,1,1,1,1,10125,NA,NA,NA
48,1,1,4,1,1,10126,35,1,3
55,1,1,1,1,1,10127,40,1,1
43,1,1,1,1,1,10128,66,0,1
59,1,1,1,1,1,10133,141,0,1
49,0,1,1,1,1,10134,62,0,1
48,1,1,1,1,1,10135,81,0,1
51,1,1,4,1,1,10136,NA,NA,NA
46,0,1,3,1,1,10137,109,0,4
60,1,1,3,1,1,10138,NA,NA,NA
43,1,1,2,1,1,10140,109,0,1
57,0,1,4,1,1,10141,51,1,3
51,0,1,4,1,1,10145,41,1,4
45,1,1,4,1,1,10146,68,0,3
39,1,1,3,1,1,10148,108,0,3
47,0,1,1,1,1,10150,105,0,1
60,1,1,3,1,1,10152,45,1,2
36,1,1,3,1,1,10153,147,0,1
48,1,1,3,1,1,10154,43,1,3
45,1,1,3,1,1,10156,NA,NA,NA
48,1,1,4,1,1,10157,41,1,2
43,1,1,2,1,1,10158,46,0,1
50,1,1,4,1,1,10159,103,0,3
52,0,1,3,1,1,10160,NA,NA,NA
67,1,1,2,1,1,10161,71,0,1
45,1,1,3,1,1,10163,28,1,1
47,1,1,1,1,1,10165,73,0,1
43,1,1,4,1,1,10166,36,0,3
48,0,1,2,1,1,10167,122,0,2
61,1,1,3,1,1,10168,61,0,2
47,1,1,4,1,1,10172,40,1,5
51,1,1,4,1,1,10174,48,1,1
42,1,1,2,1,1,10175,106,0,1
54,1,1,2,1,1,10176,NA,NA,NA
47,1,1,1,1,1,10177,49,0,1
52,1,1,1,1,1,10178,49,1,1
42,0,1,1,1,1,10179,47,0,1
50,1,1,1,1,1,10180,97,0,1
48,1,1,4,1,1,10181,154,0,1
44,1,1,1,1,1,10182,24,1,2
43,1,1,1,1,1,10183,82,0,1
44,1,1,1,1,1,10184,NA,NA,NA
51,1,1,4,1,1,10185,56,0,2
52,1,1,1,1,1,10186,57,0,1
64,1,1,2,1,1,10189,NA,NA,NA
35,0,1,2,1,1,10191,41,0,1
35,0,1,2,1,1,10193,114,0,1
46,0,1,3,1,1,10194,39,0,1
45,1,1,1,1,1,10195,146,0,1
42,1,1,3,1,1,10199,34,0,1
48,1,1,4,1,1,10204,106,0,1
45,1,1,2,1,1,10206,67,0,1
45,1,1,3,1,1,10208,97,0,3
56,0,1,1,1,1,10209,92,0,1
57,1,1,4,1,1,10211,102,0,3
40,1,1,1,1,1,10214,88,0,1
34,1,1,4,1,1,10215,22,0,3
51,0,1,2,1,1,10217,136,0,2
45,1,1,3,1,1,10218,47,0,2
58,0,1,2,1,1,10219,31,1,2
55,1,1,3,1,1,10220,99,0,2
47,0,1,3,1,1,10221,64,0,2
44,1,1,4,1,1,10224,153,0,5
49,1,1,3,1,1,10225,32,0,4
52,0,1,4,1,1,10227,92,0,3
46,0,1,1,1,1,10229,46,0,1
50,1,1,2,1,1,10230,67,0,2
53,1,1,3,1,1,10231,50,1,2
46,1,1,1,1,1,10234,96,0,1
45,1,1,3,1,1,10235,42,0,2
41,1,1,4,1,1,10236,44,0,4
51,1,1,3,1,1,10240,30,0,2
49,1,1,3,1,1,10241,49,0,3
55,0,1,1,1,1,10244,16,1,1
43,1,1,1,1,1,10246,165,0,1
47,1,1,2,1,1,10248,50,0,1
43,0,1,4,1,1,10249,55,0,3
39,1,1,1,1,1,10251,51,0,2
47,0,1,3,1,1,10252,87,0,2
56,1,1,2,1,1,10254,88,0,1
45,1,1,4,1,1,10255,43,0,5
NA,1,1,1,1,1,10259,121,0,1
53,0,1,1,1,1,10260,119,0,2
51,1,1,4,1,1,10261,105,0,5
55,1,1,1,1,1,10262,67,0,1
55,1,1,2,1,1,10263,112,0,1
51,1,1,2,1,1,10265,91,0,1
50,1,1,1,1,1,10266,46,1,1
47,1,1,2,1,1,10267,954,0,3
52,0,1,2,1,1,10268,107,0,1
48,0,1,3,1,1,10270,61,0,2
50,1,1,1,1,1,10271,67,0,2
38,1,1,2,1,1,10274,42,0,1
48,1,1,3,1,1,10275,79,0,2
43,1,1,3,1,1,10276,147,0,4
45,0,1,3,1,1,10278,422,0,3
46,1,1,3,1,1,10279,55,0,1
51,1,1,3,1,1,10280,95,0,1
54,1,1,2,1,1,10281,58,1,1
49,1,1,2,1,1,10283,84,0,1
52,1,1,3,1,1,10285,401,0,2
37,1,1,2,1,1,10287,81,0,1
55,1,1,3,1,1,10288,100,0,1
45,1,1,4,1,1,10290,101,0,3
48,1,1,4,1,1,10291,NA,NA,NA
51,1,1,1,1,1,10293,112,0,1
46,1,1,1,1,1,10294,31,1,1
44,1,1,3,1,1,10295,8,1,5
42,1,1,3,1,1,10297,59,0,1
47,1,1,1,1,1,10298,670,0,1
57,1,1,4,1,1,10299,78,0,4
56,1,1,4,1,1,10301,120,0,3
51,1,1,3,1,1,10303,124,0,1
46,1,1,4,1,1,10304,80,0,4
46,1,1,4,1,1,10305,48,0,3
43,1,1,1,1,1,10306,98,0,4
52,1,1,3,1,1,10309,91,0,1
50,0,1,2,1,1,10310,34,0,1
NA,NA,1,2,1,1,10314,42,0,1
48,0,1,1,1,1,10315,98,0,1
35,1,1,2,1,1,10316,46,0,1
53,1,1,2,1,1,10317,38,1,4
55,1,1,3,1,1,10318,102,0,3
53,0,1,4,1,1,10319,54,1,2
46,1,1,2,1,1,10320,94,0,1
52,1,1,1,1,1,10323,84,0,1
NA,NA,1,3,1,1,10324,35,0,2
47,0,1,4,1,1,10327,89,0,3
55,0,1,2,1,1,10330,NA,NA,NA
49,1,1,4,1,1,10332,93,0,5
40,1,1,4,1,1,10333,42,0,1
37,1,1,2,1,1,10334,46,0,2
46,1,1,1,1,1,10335,91,0,1
44,1,1,2,1,1,10336,45,0,3
NA,0,1,3,1,1,10337,28,0,1
57,1,1,4,1,1,10339,21,1,3
46,0,1,3,1,1,10342,47,0,2
46,1,1,2,1,1,10344,96,0,2
47,1,1,3,1,1,10345,173,0,2
58,1,1,3,1,1,10348,NA,NA,NA
49,1,1,4,1,1,10349,37,1,2
NA,0,1,1,1,1,10350,NA,NA,NA
57,1,1,4,1,1,10352,NA,NA,NA
48,1,1,4,1,1,10353,93,0,3
53,1,1,2,1,1,10354,64,0,1
46,1,1,4,1,1,10355,35,1,2
46,1,1,3,1,1,10356,67,0,1
44,1,1,4,1,1,10357,82,0,1
49,1,1,3,1,1,10358,110,0,4
37,1,1,4,1,1,10359,44,0,5
47,0,1,3,1,1,10360,41,0,5
45,1,1,3,1,1,10361,80,0,1
52,1,1,2,1,1,10362,114,0,1
57,1,1,2,1,1,10366,NA,NA,NA
45,1,1,1,1,1,10368,164,0,4
55,1,1,4,1,1,10369,49,1,3
49,0,1,4,1,1,10370,47,0,3
56,1,1,4,1,1,10372,89,0,4
49,1,1,3,1,1,10373,NA,NA,NA
46,1,1,1,1,1,10379,56,0,1
45,1,1,2,1,1,10380,90,0,3
48,1,1,1,1,1,10381,174,0,1
55,1,1,3,1,1,10383,56,1,1
43,1,1,1,1,1,10384,70,0,1
57,1,1,4,1,1,10385,57,1,4
48,1,1,1,1,1,10386,41,1,1
37,1,1,2,1,1,10387,45,0,1
42,1,1,3,1,1,10388,806,0,2
58,1,1,1,1,1,10389,43,1,1
46,1,1,4,1,1,10391,137,0,3
45,0,1,3,1,1,10394,64,0,2
41,1,1,1,1,1,10395,56,0,1
51,1,1,4,1,1,10398,31,1,3
56,1,1,1,1,1,10399,97,0,4
49,1,1,2,1,1,10401,106,0,1
49,1,1,3,1,1,10402,107,0,3
50,0,1,4,1,1,10404,92,0,1
41,1,1,1,1,1,10406,91,0,1
46,0,1,2,1,1,10407,286,0,1
45,0,1,1,1,1,10409,69,0,1
46,0,1,4,1,1,10413,44,0,3
40,0,1,2,1,1,10415,99,0,1
44,0,1,2,1,1,10416,40,0,1
47,1,1,4,1,1,10417,48,0,3
50,1,1,1,1,1,10418,76,0,1
43,0,1,1,1,1,10419,99,0,1
46,1,1,4,1,1,10420,58,0,5
45,1,1,1,1,1,10421,42,0,1
53,1,1,1,1,1,10422,61,0,1
53,1,1,3,1,1,10423,86,0,1
43,1,1,2,1,1,10425,448,0,1
57,0,1,1,1,1,10426,53,1,1
50,1,1,3,1,1,10427,46,1,1
54,1,1,2,1,1,10428,37,0,2
48,0,1,2,1,1,10429,172,0,3
58,1,1,1,1,1,10430,52,1,1
NA,1,1,4,1,1,10433,99,0,1
63,1,1,3,1,1,10434,44,1,1
44,1,1,4,1,1,10435,82,0,3
52,0,1,1,1,1,10437,45,1,1
47,1,1,1,1,1,10438,82,0,1
45,1,1,2,1,1,10440,55,0,1
48,1,1,3,1,1,10441,668,0,1
38,1,1,4,1,1,10442,56,0,4
53,0,1,3,1,1,10443,90,0,1
55,1,1,2,1,1,10446,91,0,3
49,1,1,3,1,1,10449,41,0,3
49,0,1,4,1,1,10451,44,1,3
51,0,1,1,1,1,10452,76,0,4
56,1,1,2,1,1,10453,42,1,1
46,1,1,4,1,1,10455,41,0,2
37,0,1,3,1,1,10456,64,0,2
36,0,1,4,1,1,10461,56,0,3
42,0,1,1,1,1,10463,85,0,1
54,1,1,3,1,1,10465,43,0,2
52,1,1,3,1,1,10466,49,1,2
45,1,1,1,1,1,10467,102,0,1
51,0,1,4,1,1,10470,NA,NA,NA
43,1,1,1,1,1,10472,26,1,1
57,1,1,4,1,1,10473,16,1,5
44,0,1,1,1,1,10474,79,0,1
49,1,1,3,1,1,10475,102,0,1
51,1,1,3,1,1,10476,26,1,1
46,1,1,4,1,1,10477,102,0,5
47,0,1,2,1,1,10479,57,0,1
46,1,1,2,1,1,10480,NA,NA,NA
49,1,1,3,1,1,10482,79,0,1
54,1,1,3,1,1,10484,NA,NA,NA
45,1,1,2,1,1,10485,44,0,1
51,1,1,2,1,1,10486,51,1,1
50,1,1,1,1,1,10487,22,0,2
45,1,1,1,1,1,10489,83,0,1
52,1,1,3,1,1,10490,127,0,1
54,1,1,2,1,1,10491,84,0,1
40,0,1,2,1,1,10493,55,0,1
54,1,1,2,1,1,10494,68,0,1
52,1,1,2,1,1,10496,84,0,1
NA,1,1,1,1,1,10497,102,0,1
45,0,1,3,1,1,10499,53,0,2
38,1,1,2,1,1,10500,39,0,1
47,1,1,1,1,1,10501,62,0,1
47,1,1,1,1,1,10502,63,0,1
44,1,1,3,1,1,10503,15,1,2
40,1,1,4,1,1,10504,104,0,4
46,0,1,1,1,1,10508,NA,NA,NA
50,0,1,4,1,1,10510,84,0,1
43,1,1,2,1,1,10511,76,0,2
51,1,1,2,1,1,10513,61,0,3
57,1,1,2,1,1,10514,96,0,3
42,0,1,4,1,1,10515,73,0,3
52,1,1,3,1,1,10516,91,0,1
52,1,1,3,1,1,10517,104,0,2
52,1,1,1,1,1,10518,31,0,1
51,1,1,2,1,1,10520,79,0,1
42,1,1,1,1,1,10521,63,0,1
48,1,1,3,1,1,10523,154,0,3
44,0,1,4,1,1,10525,100,0,2
45,1,1,2,1,1,10526,72,0,1
49,1,1,1,1,1,10527,73,0,3
48,0,1,4,1,1,10528,61,0,4
40,1,1,1,1,1,10529,82,0,3
53,1,1,1,1,1,10530,68,0,1
53,1,1,3,1,1,10531,32,0,1
45,1,1,1,1,1,10533,83,0,1
46,1,1,1,1,1,10536,NA,NA,NA
55,1,1,4,1,1,10537,34,1,2
44,1,1,1,1,1,10538,85,0,2
57,0,1,4,1,1,10542,NA,NA,NA
49,1,1,3,1,1,10543,433,0,3
NA,1,1,2,1,1,10544,107,0,1
47,1,1,3,1,1,10545,NA,NA,NA
50,1,1,1,1,1,10546,50,0,1
53,1,1,4,1,1,10548,59,1,2
41,0,1,3,1,1,10549,41,0,1
47,1,1,4,1,1,10551,105,0,4
60,1,1,2,1,1,10552,NA,NA,NA
37,1,1,3,1,1,10557,43,0,3
58,1,1,3,1,1,10562,48,0,5
36,0,1,2,1,1,10563,91,0,1
49,1,1,2,1,1,10564,108,0,2
NA,NA,1,2,1,1,10566,81,0,1
46,1,1,1,1,1,10567,105,0,1
55,1,1,3,1,1,10568,53,1,1
59,0,1,2,1,1,10569,NA,NA,NA
53,1,1,4,1,1,10571,52,1,5
57,1,1,4,1,1,10572,43,0,1
55,1,1,2,1,1,10574,107,0,4
49,1,1,4,1,1,10575,56,0,3
49,1,1,1,1,1,10576,96,0,2
47,1,1,2,1,1,10578,98,0,1
NA,1,1,3,1,1,10582,45,1,2
43,1,1,1,1,1,10584,82,0,1
50,0,1,1,1,1,10585,35,1,1
53,0,1,2,1,1,10587,38,1,1
43,1,1,1,1,1,10588,96,0,1
49,1,1,4,1,1,10594,61,0,4
48,1,1,3,1,1,10597,42,1,2
52,1,1,2,1,1,10599,NA,NA,NA
49,0,1,1,1,1,10601,57,0,1
54,1,1,4,1,1,10602,48,1,4
42,1,1,1,1,1,10605,104,0,1
37,0,1,2,1,1,10607,70,0,2
59,1,1,2,1,1,10608,NA,NA,NA
50,1,1,1,1,1,10611,97,0,1
49,1,1,4,1,1,10612,108,0,5
49,0,1,2,1,1,10613,49,0,1
53,0,1,1,1,1,10616,NA,NA,NA
51,0,1,2,1,1,10620,103,0,1
49,0,1,4,1,1,10622,42,1,4
53,1,1,2,1,1,10623,212,0,2
44,1,1,2,1,1,10624,37,0,1
44,1,1,1,1,1,10625,65,0,3
46,1,1,2,1,1,10626,21,1,1
55,1,1,4,1,1,10627,69,0,3
39,1,1,1,1,1,10629,136,0,1
41,1,1,4,1,1,10631,105,0,5
47,0,1,3,1,1,10633,46,0,3
59,0,1,2,1,1,10634,107,0,1
50,1,1,3,1,1,10635,NA,NA,NA
43,1,1,3,1,1,10636,82,0,2
52,1,1,4,1,1,10637,62,0,4
34,1,1,2,1,1,10641,65,0,1
46,1,1,3,1,1,10642,63,0,1
45,1,1,1,1,1,10643,74,0,1
38,1,1,1,1,1,10644,109,0,1
50,1,1,4,1,1,10646,57,0,1
47,1,1,4,1,1,10647,103,0,4
45,1,1,2,1,1,10648,62,0,1
38,1,1,3,1,1,10650,71,0,4
53,1,1,1,1,1,10651,59,1,1
53,1,1,3,1,1,10652,65,0,3
48,1,1,1,1,1,10654,33,1,1
54,1,1,3,1,1,10657,45,1,1
51,0,1,1,1,1,10658,96,0,2
55,0,1,3,1,1,10660,41,1,3
51,1,1,4,1,1,10661,52,1,3
47,1,1,1,1,1,10663,132,0,1
57,1,1,1,1,1,10667,102,0,1
46,1,1,4,1,1,10669,139,0,5
60,1,1,3,1,1,10670,146,0,1
57,0,1,2,1,1,10671,44,1,2
42,1,1,4,1,1,10672,48,0,3
56,1,1,2,1,1,10676,NA,NA,NA
42,1,1,3,1,1,10681,42,0,2
39,1,1,4,1,1,10683,47,0,4
44,0,1,1,1,1,10684,40,0,1
57,1,1,2,1,1,10685,80,0,3
43,1,1,1,1,1,10686,59,0,1
51,1,1,1,1,1,10687,33,0,1
37,1,1,3,1,1,10688,37,0,1
34,0,1,4,1,1,10689,80,0,4
56,1,1,4,1,1,10692,50,1,3
48,1,1,4,1,1,10695,46,0,3
43,1,1,2,1,1,10696,59,0,2
53,1,1,4,1,1,10700,NA,NA,NA
45,1,1,2,1,1,10701,84,0,1
48,1,1,4,1,1,10702,107,0,3
32,1,1,1,1,1,10703,43,0,3
44,1,1,1,1,1,10705,36,0,1
58,1,1,1,1,1,10707,64,0,1
56,1,1,3,1,1,10708,31,1,3
53,0,1,3,1,1,10712,94,0,1
44,0,1,1,1,1,10713,84,0,1
49,0,1,1,1,1,10714,48,0,1
50,1,1,2,1,1,10715,83,0,1
41,1,1,2,1,1,10719,61,0,1
51,1,1,3,1,1,10721,81,0,2
37,1,1,2,1,1,10722,48,0,1
50,1,1,2,1,1,10725,57,0,2
46,0,1,2,1,1,10727,53,0,1
54,1,1,2,1,1,10728,157,0,1
49,1,1,4,1,1,10730,56,0,3
49,1,1,1,1,1,10731,48,0,1
43,0,1,2,1,1,10732,55,0,1
51,1,1,4,1,1,10733,NA,NA,NA
51,1,1,4,1,1,10735,87,0,3
41,1,1,1,1,1,10736,51,0,1
47,1,1,3,1,1,10737,91,0,2
44,1,1,1,1,1,10739,40,0,1
55,1,1,1,1,1,10740,150,0,1
54,1,1,1,1,1,10742,43,1,1
45,0,1,1,1,1,10743,42,0,1
48,1,1,3,1,1,10744,NA,NA,NA
42,1,1,4,1,1,10745,41,0,5
49,1,1,3,1,1,10747,149,0,1
50,1,1,4,1,1,10748,51,1,3
61,1,1,3,1,1,10749,NA,NA,NA
49,1,1,3,1,1,10750,106,0,2
36,1,1,1,1,1,10751,48,0,2
49,1,1,1,1,1,10753,103,0,1
39,1,1,3,1,1,10755,82,0,1
53,1,1,4,1,1,10756,112,0,3
51,0,1,1,1,1,10757,34,1,1
46,1,1,4,1,1,10758,69,0,2
58,0,1,1,1,1,10759,NA,NA,NA
57,1,1,3,1,1,10760,52,1,2
33,1,1,4,1,1,10762,105,0,3
57,0,1,1,1,1,10763,74,0,2
42,1,1,1,1,1,10764,117,0,4
54,1,1,2,1,1,10765,56,0,1
61,0,1,2,1,1,10766,39,1,2
39,1,1,4,1,1,10767,50,0,3
43,1,1,4,1,1,10769,42,0,1
56,1,1,2,1,1,10770,81,0,1
59,1,1,4,1,1,10771,NA,NA,NA
56,1,1,2,1,1,10772,69,1,1
47,0,1,4,1,1,10773,108,0,4
52,1,1,1,1,1,10774,42,1,1
49,0,1,2,1,1,10776,62,0,2
42,1,1,3,1,1,10779,80,0,2
38,1,1,4,1,1,10780,103,0,5
55,1,1,1,1,1,10781,61,1,1
33,0,1,2,1,1,10782,146,0,1
52,0,1,4,1,1,10785,47,1,4
62,0,1,1,1,1,10786,28,1,1
51,0,1,4,1,1,10787,403,0,5
54,1,1,2,1,1,10788,50,1,1
41,1,1,1,1,1,10789,83,0,2
44,1,1,2,1,1,10790,104,0,1
51,1,1,2,1,1,10792,41,1,1
46,1,1,2,1,1,10793,75,0,1
44,1,1,3,1,1,10794,78,0,2
47,1,1,4,1,1,10795,149,0,4
51,1,1,4,1,1,10796,54,0,5
43,1,1,1,1,1,10797,NA,NA,NA
51,0,1,1,1,1,10798,91,0,1
47,0,1,1,1,1,10799,66,0,1
48,0,1,4,1,1,10800,49,0,3
54,1,1,1,1,1,10801,46,1,1
59,1,1,1,1,1,10802,46,1,1
46,1,1,3,1,1,10807,65,0,2
43,0,1,4,1,1,10808,40,0,3
52,1,1,4,1,1,10809,218,0,3
51,1,1,2,1,1,10811,43,1,1
56,1,1,3,1,1,10812,23,1,2
43,1,1,1,1,1,10815,71,0,1
56,1,1,4,1,1,10816,NA,NA,NA
54,1,1,2,1,1,10817,100,0,3
45,0,1,3,1,1,10818,30,0,2
56,1,1,2,1,1,10820,165,0,1
53,1,1,2,1,1,10821,27,1,1
41,1,1,1,1,1,10822,40,0,1
43,1,1,4,1,1,10823,103,0,3
40,1,1,4,1,1,10825,74,0,3
61,1,1,2,1,1,10826,105,0,1
47,1,1,3,1,1,10828,87,0,1
56,1,1,4,1,1,10829,55,1,3
58,1,1,1,1,1,10830,60,0,3
50,0,1,3,1,1,10831,78,0,3
48,1,1,1,1,1,10832,86,0,1
55,1,1,3,1,1,10837,63,1,1
49,1,1,4,1,1,10838,56,0,2
39,1,1,2,1,1,10840,58,0,1
52,1,1,3,1,1,10845,156,0,3
42,1,1,4,1,1,10846,31,0,5
42,1,1,4,1,1,10847,102,0,4
52,0,1,4,1,1,10849,57,0,2
44,1,1,3,1,1,10851,44,0,2
46,1,1,3,1,1,10852,72,0,3
45,1,1,2,1,1,10854,83,0,1
39,1,1,3,1,1,10855,22,0,2
46,1,1,2,1,1,10857,111,0,1
34,1,1,1,1,1,10859,101,0,1
39,1,1,1,1,1,10860,NA,NA,NA
47,1,1,3,1,1,10861,61,0,1
46,1,1,1,1,1,10863,87,0,1
50,1,1,3,1,1,10864,NA,NA,NA
51,1,1,4,1,1,10865,49,1,3
55,1,1,3,1,1,10866,78,0,1
49,0,1,2,1,1,10868,NA,NA,NA
54,1,1,2,1,1,10869,63,1,1
38,0,1,4,1,1,10871,100,0,1
54,1,1,1,1,1,10872,61,0,1
40,1,1,3,1,1,10873,52,0,3
46,1,1,4,1,1,10874,54,0,3
50,1,1,1,1,1,10875,135,0,1
44,1,1,4,1,1,10876,62,0,2
57,1,1,1,1,1,10880,NA,NA,NA
49,0,1,1,1,1,10881,80,0,1
52,1,1,1,1,1,10882,93,0,1
52,1,1,4,1,1,10883,34,1,3
46,0,1,2,1,1,10884,64,0,1
38,1,1,4,1,1,10886,46,0,3
43,0,1,4,1,1,10887,70,0,4
46,0,1,4,1,1,10888,48,0,3
38,1,1,4,1,1,10893,45,0,3
50,1,1,3,1,1,10895,26,1,5
43,1,1,2,1,1,10896,63,0,1
35,0,1,2,1,1,10897,30,0,1
50,1,1,1,1,1,10902,19,1,1
33,1,1,3,1,1,10903,88,0,3
58,1,1,1,1,1,10904,83,0,1
63,1,1,1,1,1,10905,78,0,1
40,1,1,4,1,1,10910,101,0,4
46,0,1,1,1,1,10911,67,0,1
44,0,1,1,1,1,10916,81,0,1
70,0,1,1,1,1,10917,93,1,1
54,1,1,4,1,1,10918,102,0,4
51,0,1,2,1,1,10920,96,0,2
41,1,1,3,1,1,10922,55,0,5
42,1,1,4,1,1,10923,74,0,4
NA,1,1,4,1,1,10924,60,0,3
42,1,1,2,1,1,10925,148,0,1
50,0,1,1,1,1,10926,122,0,3
48,1,1,4,1,1,10927,40,1,3
48,1,1,2,1,1,10928,60,0,1
52,1,1,3,1,1,10931,46,1,3
43,1,1,4,1,1,10933,43,0,3
45,1,1,1,1,1,10934,94,0,1
55,1,1,1,1,1,10935,707,0,1
54,1,1,3,1,1,10936,72,0,3
42,0,1,3,1,1,10939,76,0,3
43,1,1,1,1,1,10944,48,0,2
45,1,1,3,1,1,10945,NA,NA,NA
35,1,1,1,1,1,10948,54,0,1
48,0,1,1,1,1,10950,71,0,1
46,1,1,4,1,1,10952,51,0,1
54,1,1,4,1,1,10954,40,1,4
55,1,1,4,1,1,10955,46,0,4
59,1,1,1,1,1,10956,37,1,3
40,1,1,1,1,1,10957,40,0,1
